날짜,아기맹수
2025-12-09,0.02792
2025-12-10,0
2025-12-11,0.04468
2025-12-12,0
2025-12-13,0
2025-12-14,0.06702
2025-12-15,0.05026
2025-12-16,24.89248
2025-12-17,90.86847
2025-12-18,81.1561
2025-12-19,72.39318
2025-12-20,65.06562
2025-12-21,62.93772
2025-12-22,47.64032
2025-12-23,57.15163
2025-12-24,83.37335
2025-12-25,87.16559
2025-12-26,67.08182
2025-12-27,62.36246
2025-12-28,51.32086
2025-12-29,37.58726
2025-12-30,38.33007
2025-12-31,60.98296
2026-01-01,46.39486
2026-01-02,39.43591
2026-01-03,34.9232
2026-01-04,71.75649
2026-01-05,58.73219
2026-01-06,40.20106
2026-01-07,33.1695
2026-01-08,30.06981
2026-01-09,23.55766
2026-01-10,22.73108
2026-01-11,25.36163
2026-01-12,36.48142
2026-01-13,100.0
2026-01-14,81.31248
2026-01-15,
